body_pre,body_post,weight
516666,530445,86
529385,51159,86
520468,517603,86
517417,11053,86
102689,17820,86
27460,512362,86
10099,88342,86
13033,23601,86
539328,541855,86
533946,109866,86
22240,523786,86
533946,39970,86
17874,522853,86
12358,521813,86
11886,526548,86
12506,514126,86
12506,513463,86
38182,515234,86
22884,10324,86
12802,31656,86
19760,11874,86
565465,88904,86
28364,518779,86
25797,527653,86
27179,17816,86
18504,23325,86
10324,45427,86
50808,20980,86
130175,28582,86
10324,294178,86
515234,515232,86
34226,32675,86
27109,22657,85
27213,20520,85
16818,22461,85
27109,12083,85
11516,526934,85
47995,88904,85
11516,132828,85
11516,77801,85
92576,20969,85
533946,43161,85
23520,24459,85
22461,28339,85
513702,26429,85
24879,23520,85
18178,19700,85
12506,523786,85
18419,556347,85
22700,59969,85
25773,27191,85
12763,524596,85
513284,10099,85
13033,13559,85
512362,23779,85
527653,28339,85
18639,20279,85
515232,567101,85
99028,30541,85
10099,11307,85
524876,59288,85
18504,513517,85
11053,81159,85
11053,535347,85
533725,19760,85
28339,527653,85
19189,519140,85
102689,17816,85
23315,28339,85
59485,520435,85
15495,11053,84
515294,11053,84
521646,79549,84
10099,11874,84
41665,30443,84
28559,24399,84
24382,20715,84
22461,20653,84
49618,16292,84
30068,17286,84
46008,17801,84
515192,12083,84
11886,51159,84
25773,32718,84
520468,48956,84
28254,513702,84
521814,12104,84
12802,32675,84
12802,524876,84
19189,512513,84
24076,24459,84
